lens_id,company,title,date_published,publication_type,patent_status,classification,npl_count,n_jurisdictions,jurisdictions,filter_path,kept
016-682-255-676-814,alphabet,Data center balance of plant integrated into fuel cell system design,2025-11-11,GRANTED_PATENT,ACTIVE,dual_purpose,2,2,"EP, US",filtered_keep,True
055-123-312-852-903,alphabet,Enhanced handover procedure for supporting network energy savings,2025-11-07,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
147-665-006-321-997,alphabet,SKIPPING IDLE-MODE DRX IN RELATION TO NTN CELLULAR COMMUNICATION,2025-11-06,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
084-256-864-465-611,alphabet,Managing a ue preferred configuration,2025-11-04,GRANTED_PATENT,ACTIVE,dual_purpose,8,6,"BR, CN, EP, KR, US, WO",filtered_keep,True
048-401-639-628-368,alphabet,Compression-loaded assembly for applying compression force on package,2025-11-01,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
184-867-215-870-914,alphabet,MESH NETWORK ADDRESSING,2025-10-30,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
010-497-182-986-463,alphabet,NAVIGATIONSABFRAGEN,2025-10-29,SEARCH_REPORT,PENDING,dual_purpose,0,,,removed,False
135-577-798-491-525,alphabet,THERMOSTATSTEUERUNG MIT BERÜHRUNGSSENSOR GESTEBASIERTER EINGANG,2025-10-29,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
003-719-344-039-483,alphabet,用于管理非地面网络中用户设备可达性的方法,2025-10-24,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
082-218-848-341-483,alphabet,Vehicle Battery Capacity Measurement Using Autonomous Discharge,2025-10-23,PATENT_APPLICATION,PENDING,other,0,,,removed,False
179-235-489-970-65X,alphabet,METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK,2025-10-23,SEARCH_REPORT,PENDING,dual_purpose,0,,,removed,False
167-048-069-446-705,alphabet,TERMINALBEREICHSNAVIGATION UND STEUERUNG VON UAVS FÜR PAKETABLIEFERUNGSSYSTEM,2025-10-22,PATENT_APPLICATION,PENDING,other,0,,,removed,False
006-939-975-441-034,alphabet,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING DISTANCE THRESHOLDS,2025-10-16,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
073-028-610-303-571,alphabet,ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS,2025-10-16,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
182-553-320-432-276,alphabet,EINSTELLEN DER SENDELEISTUNG BASIEREND AUF BERÜHRUNGSNACHWEIS,2025-10-15,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
094-987-866-270-06X,alphabet,Passive infrared sensor device,2025-10-14,GRANTED_PATENT,ACTIVE,other,3,2,"EP, US",filtered_keep,True
173-081-072-727-577,alphabet,通信设备的节能,2025-10-10,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
078-917-620-296-83X,alphabet,MANAGING DISCONTINUOUS COVERAGE AND POWER SAVING MODE IN NTN USING TIMERS,2025-10-09,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
101-557-073-990-560,alphabet,COLLABORATIVE DVFS CONTROL FOR A PROCESSING-IN-MEMORY ARCHITECTURE OF A HETEROGENEOUS COMPUTING SYSTEM,2025-10-02,AMENDED_APPLICATION,PENDING,dual_purpose,0,,,removed,False
019-241-210-546-552,alphabet,NON-INVASIVE CACHE NODE POWER REDUCTION,2025-10-02,AMENDED_APPLICATION,PENDING,dual_purpose,0,,,removed,False
125-986-104-413-536,alphabet,"TIEDONSIIRTONOPEUDEN SUHTEEN OPTIMOITU, PALVELUNLAADUN HUOMIOIVA TEHONRAJOITUSJÄRJESTELMÄ",2025-10-02,UNKNOWN,PENDING,dual_purpose,0,,,removed,False
003-498-669-905-718,alphabet,VIRTUALISIERUNG EINES EXTERNEN SPEICHERS ALS LOKAL ZU EINEM MASCHINENLERNBESCHLEUNIGER,2025-07-30,SEARCH_REPORT,PENDING,dual_purpose,2,6,"CN, EP, JP, TW, US, WO",filtered_keep,True
004-890-244-251-651,alphabet,Large-scale accelerator system energy performance optimization,2025-07-08,GRANTED_PATENT,ACTIVE,dual_purpose,1,4,"CN, EP, US, WO",filtered_keep,True
005-965-372-605-581,alphabet,Ultra-wideband power usage optimization,2025-08-19,GRANTED_PATENT,ACTIVE,dual_purpose,6,6,"CN, EP, JP, KR, US, WO",filtered_keep,True
013-288-561-194-122,alphabet,Controlling memory frequency based on transaction queue occupancy,2025-08-12,GRANTED_PATENT,ACTIVE,dual_purpose,4,4,"CN, EP, US, WO",filtered_keep,True
016-591-671-333-841,alphabet,"Client-server approach for indoor-outdoor detection of an electronic device, and associated systems and methods",2025-07-22,GRANTED_PATENT,ACTIVE,dual_purpose,1,7,"CN, DE, EP, JP, KR, US, WO",filtered_keep,True
018-260-991-187-130,alphabet,Allocating resources for a machine learning model,2025-08-12,GRANTED_PATENT,ACTIVE,dual_purpose,1,1,US,removed,False
030-823-325-645-209,alphabet,Wake-up batteries for invasive biosensors,2025-06-24,GRANTED_PATENT,ACTIVE,other,3,5,"CN, EP, TW, US, WO",filtered_keep,True
032-067-197-984-565,alphabet,Wireless charging of a wrist-mounted sensor platform,2025-09-02,GRANTED_PATENT,ACTIVE,other,8,1,US,removed,False
033-802-605-447-30X,alphabet,NAVIGATIONSABFRAGEN,2025-07-23,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
040-124-686-723-508,alphabet,INTEGRIERTE MEHRMODENSCHALTUNGEN MIT AUSGEGLICHENEM ENERGIEVERBRAUCH,2025-09-17,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
041-242-267-583-479,alphabet,UNMANNED AERIAL VEHICLE HOUSING,2025-09-11,PATENT_APPLICATION,PENDING,other,0,,,removed,False
047-563-975-700-942,alphabet,COLLABORATIVE ENVIRONMENTAL SENSOR NETWORKS FOR INDOOR AIR QUALITY,2025-06-12,PATENT_APPLICATION,PENDING,other,0,,,removed,False
047-707-138-824-139,alphabet,Computer-implemented method for entering a low-power state and the related computing system,2025-08-11,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
060-476-945-989-111,alphabet,VIRTUALIZING EXTERNAL MEMORY AS LOCAL TO A MACHINE LEARNING ACCELERATOR,2025-07-17,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
064-158-768-078-609,alphabet,EXPLOITING INPUT DATA SPARSITY IN NEURAL NETWORK COMPUTE UNITS,2025-08-14,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
070-959-313-955-609,alphabet,"Method, computing device and computer-readable storage medium related to loading state detection for gaming applications",2025-07-01,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
071-461-156-711-579,alphabet,Thermal gradient battery monitoring system and methods,2025-09-16,GRANTED_PATENT,ACTIVE,other,2,1,US,removed,False
079-626-996-693-274,alphabet,EFFIZIENTES DATENCENTERENERGIEMANAGEMENT AUF BASIS VON RECHENKAPAZITÄT UND FLOTTENMANAGEMENT,2025-06-25,PATENT_APPLICATION,PENDING,dual_purpose,1,2,"EP, US",filtered_keep,True
089-327-025-738-823,alphabet,בקר רמת פרוטוקול לגורם איפוס של מערכת על גבי שבב (soc) וניהול כוח,2025-08-01,UNKNOWN,PENDING,dual_purpose,0,,,removed,False
093-638-463-622-081,alphabet,吞吐量优化的服务质量预警功率封顶系统,2025-08-08,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
104-281-228-872-978,alphabet,USER EQUIPMENT SELF-ADAPTIVE CONNECTED MODE DISCONTINUOUS RECEPTION TIMERS,2025-06-26,PATENT_APPLICATION,PENDING,dual_purpose,3,1,WO,removed,False
105-398-812-412-626,alphabet,NAVIGATIONSABFRAGEN,2025-07-30,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
109-312-923-388-652,alphabet,Efficient Datacenter Energy Management Based On Compute Capacity and Fleet Management,2025-06-19,PATENT_APPLICATION,ACTIVE,dual_purpose,0,,,removed,False
109-862-662-651-489,alphabet,MESH NETWORK ADDRESSING,2025-09-09,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
110-645-941-343-109,alphabet,VERWALTUNG EINER UE-BEVORZUGTEN KONFIGURATION,2025-07-23,GRANTED_PATENT,ACTIVE,dual_purpose,2,6,"BR, CN, EP, KR, US, WO",filtered_keep,True
112-128-241-105-801,alphabet,COMPUESTOS DE FÓRMULA (I) O FÓRMULA (III) COMO MODULADORES DE LA VÍA INTEGRADA DEL ESTRÉS,2025-06-15,PATENT_APPLICATION,PENDING,pure,,,,pure_auto_keep,True
119-785-450-234-305,alphabet,"Future prediction, using stochastic adversarial based sampling, for robotic control and/or other purpose(s)",2025-06-24,GRANTED_PATENT,ACTIVE,other,14,3,"EP, US, WO",filtered_keep,True
133-446-875-710-929,alphabet,NIEDRIGENERGIE-SICHTSENSOR,2025-06-25,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
135-478-638-847-648,alphabet,TERMINALBEREICHSNAVIGATION UND STEUERUNG VON UAVS FÜR PAKETABLIEFERUNGSSYSTEM,2025-07-30,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
139-226-197-100-876,alphabet,NON-INVASIVE CACHE NODE POWER REDUCTION,2025-09-12,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
144-820-242-160-45X,alphabet,UNABHÄNGIGE TAKTUNG FÜR KONFIGURATIONS- UND STATUSREGISTER,2025-08-13,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
147-994-430-504-706,alphabet,"Systems, methods, and devices for activity monitoring via a home assistant",2025-07-29,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
150-903-923-145-555,alphabet,Non-invasive cache node power reduction,2025-09-16,PATENT_OF_ADDITION,PENDING,dual_purpose,0,,,removed,False
152-875-772-628-775,alphabet,VERWALTUNG EINER UE-BEVORZUGTEN KONFIGURATION,2025-07-23,UNKNOWN,ACTIVE,dual_purpose,0,,,removed,False
154-624-923-187-142,alphabet,"ARCHITEKTUR FÜR HOCHLEISTUNGSFÄHIGE, ENERGIEEFFIZIENTE, PROGRAMMIERBARE BILDVERARBEITUNG",2025-07-30,GRANTED_PATENT,ACTIVE,other,1,7,"CN, DE, EP, JP, KR, US, WO",filtered_keep,True
164-274-338-442-128,alphabet,Large-Scale Accelerator System Energy Performance Optimization,2025-09-25,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
164-629-707-967-254,alphabet,METHOD FOR MANAGING REACHABILITY OF A USER EQUIPMENT IN A NON-TERRESTRIAL NETWORK,2025-09-04,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
165-095-852-871-841,alphabet,"GENNEMLØBSOPTIMERET, TJENESTEKVALITETSBEVIDST EFFEKTBEGRÆNSNINGSSYSTEM",2025-09-01,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
171-536-061-424-285,alphabet,Adaptive frequency control in integrated circuits,2025-07-08,GRANTED_PATENT,ACTIVE,dual_purpose,3,4,"EP, TW, US, WO",filtered_keep,True
174-079-847-253-703,alphabet,ADAPTIVES WI-FI-BAKEN-ÜBERSPRINGEN FÜR BATTERIEBETRIEBENE VORRICHTUNGEN,2025-09-24,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
175-238-456-384-767,alphabet,Modular housing structure for unmanned aerial vehicles having a repeating structure and ingress point,2025-06-24,GRANTED_PATENT,ACTIVE,other,14,6,"AU, CN, EP, SG, US, WO",filtered_keep,True
175-400-731-825-954,alphabet,Method and device for audio input routing,2025-09-02,GRANTED_PATENT,ACTIVE,dual_purpose,4,2,"US, WO",filtered_keep,True
181-942-395-881-554,alphabet,SOCIAL MESSAGING USER INTERFACE,2025-09-09,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
182-701-410-265-549,alphabet,Virtualizing external memory as local to a machine learning accelerator,2025-09-16,GRANTED_PATENT,ACTIVE,dual_purpose,16,6,"CN, EP, JP, TW, US, WO",filtered_keep,True
191-302-684-428-411,alphabet,COLLABORATIVE DVFS CONTROL FOR A PROCESSING-IN-MEMORY ARCHITECTURE OF A HETEROGENEOUS COMPUTING SYSTEM,2025-09-12,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
191-414-988-033-589,alphabet,GEHÄUSE FÜR EIN UNBEMANNTES LUFTFAHRZEUG,2025-06-18,SEARCH_REPORT,ACTIVE,other,0,,,removed,False
191-826-408-766-999,alphabet,DURCHSATZOPTIMIERTES DIENSTQUALITÄTSBEWUSSTES LEISTUNGSBEGRENZUNGSSYSTEM,2025-07-09,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
193-649-900-441-297,alphabet,WIFI-ADAPTIVES ÜBERSPRINGEN VON BAKEN FÜR BATTERIEBETRIEBENE VORRICHTUNGEN,2025-08-20,GRANTED_PATENT,ACTIVE,dual_purpose,1,2,"EP, US",filtered_keep,True
195-317-852-669-001,alphabet,SYNCHRONISIERTER EMPFANG IN MESH-NETZWERKEN,2025-06-25,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
002-818-877-704-164,alphabet,ZWISCHENGESPEICHERTES AMBIENT-COMPUTING MIT NIEDRIGEM STROMVERBRAUCH,2025-04-02,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
007-855-462-339-198,alphabet,클록 게이팅 동안의 DI/DT 관리,2025-05-19,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
010-765-402-912-975,alphabet,Power supplies for compute cores,2025-06-11,GRANTED_PATENT,ACTIVE,dual_purpose,1,6,"CN, EP, JP, KR, TW, WO",filtered_keep,True
012-173-059-414-39X,alphabet,ACTIVE THERMAL CONTROL OF UAV ENERGY STORAGE UNITS,2025-04-10,AMENDED_PATENT,ACTIVE,other,0,,,removed,False
033-496-209-397-694,alphabet,Intelligent Power Optimization Mechanism Via an Enhanced CPU Power Management Algorithm,2025-04-17,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
034-920-313-974-814,alphabet,VERFAHREN UND VORRICHTUNGEN ZUR KONFIGURATION VON BENUTZERGERÄTESTROMEINSPARUNG WÄHREND EINER DISKONTINUIERLICHEN NTN-AB,2025-05-14,PATENT_APPLICATION,PENDING,dual_purpose,1,4,"CN, EP, US, WO",filtered_keep,True
035-180-474-494-403,alphabet,Systems and methods for battery capacity management in a fleet of UAVs,2025-05-15,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
035-746-173-177-041,alphabet,VIRTUALISIERUNG EINES EXTERNEN SPEICHERS ALS LOKAL ZU EINEM MASCHINENLERNBESCHLEUNIGER,2025-05-21,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
055-144-650-941-012,alphabet,Load imbalance mitigation with component repositioning for higher power subscription in warehouse scale computers,2025-03-25,GRANTED_PATENT,ACTIVE,other,4,4,"CN, EP, US, WO",filtered_keep,True
064-319-086-955-648,alphabet,בקר רמת פרוטוקול לגורם איפוס של מערכת על גבי שבב (soc) וניהול כוח,2025-04-01,UNKNOWN,PENDING,dual_purpose,0,,,removed,False
068-501-532-462-613,alphabet,Indoor localization using Bluetooth high-accuracy distance measurement,2025-06-03,GRANTED_PATENT,ACTIVE,dual_purpose,2,1,US,removed,False
070-825-697-947-195,alphabet,STROMVERSORGUNGEN FÜR RECHENKERNE,2025-06-11,PATENT_APPLICATION,PENDING,dual_purpose,1,6,"CN, EP, JP, KR, TW, WO",filtered_keep,True
076-668-867-693-549,alphabet,Quantum assisted optimization,2025-03-25,GRANTED_PATENT,ACTIVE,dual_purpose,3,5,"CA, CN, EP, US, WO",filtered_keep,True
077-742-189-239-206,alphabet,针对具有非整数流量周期性的XR应用进行省电的方法,2025-04-15,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
083-248-088-732-943,alphabet,Direct liquid cooling with O-ring sealing,2025-04-08,GRANTED_PATENT,ACTIVE,dual_purpose,1,4,"CN, EP, TW, US",filtered_keep,True
087-056-992-696-353,alphabet,GEHÄUSE FÜR EIN UNBEMANNTES LUFTFAHRZEUG,2025-05-07,PATENT_APPLICATION,ACTIVE,other,0,,,removed,False
091-683-266-862-772,alphabet,BATTERY CONFIGURATION FOR DIRECTING RELATIVE H-FIELD DISTRIBUTIONS,2025-06-05,PATENT_APPLICATION,PENDING,other,0,,,removed,False
097-293-074-738-771,alphabet,"VERFAHREN UND SYSTEME ZUR VERWENDUNG EINES UNBEMANNTEN LUFTFAHRZEUGS (UAV), DAS ZUM EINSETZEN EINER OPERATIVEN INFRASTRU",2025-06-11,GRANTED_PATENT,ACTIVE,other,1,6,"AU, CN, EP, SG, US, WO",filtered_keep,True
107-565-903-839-965,alphabet,GEHÄUSE FÜR EIN UNBEMANNTES LUFTFAHRZEUG,2025-06-11,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
113-169-376-455-267,alphabet,用于在不连续NTN覆盖期间配置UE省电的方法和装置,2025-03-21,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
115-175-858-592-938,alphabet,Physics-informed optimization for autonomous driving systems,2025-05-13,GRANTED_PATENT,ACTIVE,other,1,2,"CN, US",filtered_keep,True
115-557-451-724-576,alphabet,메모리 요청 스트림들의 적응적 캐싱,2025-04-04,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
116-069-212-946-044,alphabet,Creating a cinematic storytelling experience using network-addressable devices,2025-04-15,GRANTED_PATENT,ACTIVE,other,7,4,"CN, EP, US, WO",filtered_keep,True
121-706-441-366-975,alphabet,游戏渲染中的内存管理,2025-03-25,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
126-555-020-572-451,alphabet,INTELLIGENT POWER OPTIMIZATION MECHANISM VIA AN ENHANCED CPU POWER MANAGEMENT ALGORITHM,2025-04-17,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
128-877-738-958-622,alphabet,ZWISCHENGESPEICHERTES AMBIENT-COMPUTING MIT NIEDRIGEM STROMVERBRAUCH,2025-05-21,SEARCH_REPORT,PENDING,dual_purpose,0,,,removed,False
129-329-467-367-511,alphabet,ZWISCHENGESPEICHERTES AMBIENT-COMPUTING MIT NIEDRIGEM STROMVERBRAUCH,2025-05-14,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
129-488-374-919-098,alphabet,COMPUTERAKTIONEN AUF GRUNDLAGE VON SENSORDATEN VON ENTFERNTEN VORRICHTUNGEN,2025-05-21,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
132-123-186-365-776,alphabet,합성 전압 신호들,2025-03-31,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
132-220-492-449-366,alphabet,合成电压信号,2025-04-08,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
137-749-498-632-200,alphabet,Battery Configuration for Directing Relative H-field Distributions,2025-05-29,PATENT_APPLICATION,PENDING,other,0,,,removed,False
144-280-770-182-914,alphabet,컴퓨트 코어에 대한 전원 공급 장치,2025-04-01,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
146-488-859-880-458,alphabet,BATTERIEKOMBINATIONEN FÜR OPTIMISIERTE RAUMNUTZUNG,2025-04-09,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
149-846-264-840-277,alphabet,Adaptive caching of memory request streams,2025-05-30,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
153-188-837-303-771,alphabet,ZWEISTUFIGER ROLLENSCHALTER,2025-03-26,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
154-910-155-654-939,alphabet,VERWALTUNG VON DISKONTINUIERLICHER ABDECKUNG UND ENERGIESPARMODUS IN NTN UNTER VERWENDUNG VON TIMERN,2025-04-02,PATENT_APPLICATION,PENDING,dual_purpose,1,5,"AU, CN, EP, US, WO",filtered_keep,True
154-925-604-926-461,alphabet,KONDENSATORKONSTRUKTION MIT HOCHDICHTEM BALL-GRID-ARRAY (BGA)-GEHÄUSE,2025-05-28,GRANTED_PATENT,ACTIVE,other,0,,,removed,False
155-995-999-609-574,alphabet,"CLIENT-SERVER APPROACH FOR INDOOR-OUTDOOR DETECTION OF ELECTRONIC DEVICE, AND ASSOCIATED SYSTEMS AND METHODS",2025-03-26,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
161-613-274-636-592,alphabet,"Methods, systems, and media for projecting light to indicate a device status",2025-05-13,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
163-531-506-145-025,alphabet,SPRACHAKTIONEN BEI COMPUTERVORRICHTUNGEN,2025-06-11,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
164-460-972-170-093,alphabet,VERWALTUNG VON DISKONTINUIERLICHER ABDECKUNG UND ENERGIESPARMODUS IN NTN UNTER VERWENDUNG VON ABSTANDSSCHWELLEN,2025-04-23,PATENT_APPLICATION,PENDING,dual_purpose,1,5,"CA, CN, EP, US, WO",filtered_keep,True
166-532-772-401-988,alphabet,用于计算核心的电源,2025-04-04,PATENT_APPLICATION,PENDING,dual_purpose,0,,,removed,False
168-201-830-860-493,alphabet,SMART-HOME HAZARD DETECTOR PROVIDING CONTEXT SPECIFIC FEATURES AND/OR PRE-ALARM CONFIGURATIONS,2025-05-06,GRANTED_PATENT,ACTIVE,pure,,,,pure_auto_keep,True
173-366-336-731-852,alphabet,STEUERUNG DER SPEICHERFREQUENZ AUF BASIS DER BELEGUNG VON TRANSAKTIONSWARTESCHLANGEN,2025-03-26,GRANTED_PATENT,ACTIVE,dual_purpose,0,,,removed,False
176-422-594-204-177,alphabet,Low-Emission Cylindrical-Winding Battery Design,2025-05-22,PATENT_APPLICATION,PENDING,other,0,,,removed,False
181-912-280-539-663,alphabet,שיטות ומערכות לקביעת אסטרטגיה לתהליך שחרור הקשור למכשיר חשיפה והתפרסות אור,2025-06-01,UNKNOWN,PENDING,pure,,,,pure_auto_keep,True
189-473-432-204-23X,alphabet,ENERGIESPARVERFAHREN FÜR XR-ANWENDUNGEN MIT NICHT-GANZZAHLIGER VERKEHRSPERIODIZITÄT,2025-05-28,PATENT_APPLICATION,PENDING,dual_purpose,1,3,"CN, EP, WO",filtered_keep,True
