lens_id,company,year,title,abstract,cpc_climate_codes,n_climate_codes,abstract_clean,topic
009-343-192-857-078,Alphabet,2022,Authentication management through IMU and radar,"Authentication management through IMU and radar. This document describes techniques and systems for authentication management through IMU and radar. The techniques and systems use inertial sensor data from an inertial measurement unit (IMU) and/or radar data to manage authentication for a computing device. By so doing, the techniques conserve power, improve accuracy, or reduce latency relative to many common techniques and systems for computing-device authentication",Y02D10/00,1,"Authentication management through IMU and radar. This document describes techniques and systems for authentication management through IMU and radar. The techniques and systems use inertial sensor data from an inertial measurement unit (IMU) and/or radar data to manage authentication for a computing device. By so doing, the techniques conserve power, improve accuracy, or reduce latency relative to many common techniques and systems for computing-device authentication",-1
053-108-754-330-637,Alphabet,2025,Efficient datacenter energy management based on compute capacity and fleet management,"Efficient datacenter energy management based on compute capacity and fleet management. The technology is generally directed to a management framework that uses a predictive feedback control loop to reduce energy consumption of a datacenter. The framework determines how to place a series of jobs or workloads on the available pool of machines in a datacenter. For example, the framework may consider the current workload profile and the workload demand forecast of the datacenter to determine an updated workload profile. The updated workload profile may include a redistribution of the workloads or jobs onto a first subset of the machines such that a second subset of the machines can enter an idle state",Y02D10/00,1,"Efficient datacenter energy management based on compute capacity and fleet management. The technology is generally directed to a management framework that uses a predictive feedback control loop to reduce energy consumption of a datacenter. The framework determines how to place a series of jobs or workloads on the available pool of machines in a datacenter. For example, the framework may consider the current workload profile and the workload demand forecast of the datacenter to determine an updated workload profile. The updated workload profile a redistribution of the workloads or jobs onto a first subset of the machines such that a second subset of the machines can enter an idle state",25
066-842-965-347-197,Alphabet,2019,Using user input to adapt search results provided for presentation to the user,"Using user input to adapt search results provided for presentation to the user. Methods, apparatus, and computer readable media related to interaction between a user and an automated assistant during a dialog between the user and the automated assistant. Some implementations are directed to adapting a graphical and/or audible presentation of search results provided by the automated assistant for presentation to the user. The adaptation may be in response to attribute(s), of one or more of the search results, referenced in spoken and/or typed textual input provided by the user during the dialog. Some of those implementations may enable a user to provide textual input to navigate the search results within the dialog and within resource and/or interface constraints associated with the dialog. Some of those implementations may additionally and/or alternatively enable adapting, based on textual input provided by a user to the automated assistant, when and/or whether search results having certain attributes are provided to the user by the automated assistant",Y02B20/40,1,"Using user input to adapt search results provided for presentation to the user. Methods, apparatus, and computer readable media related to interaction between a user and an automated assistant during a dialog between the user and the automated assistant. Some implementations are directed to adapting a graphical and/or audible presentation of search results provided by the automated assistant for presentation to the user. The adaptation in response to attribute(s), of one or more of the search results, referenced in spoken and/or typed textual input provided by the user during the dialog. Some of those implementations may enable a user to provide textual input to navigate the search results within the dialog and within resource and/or interface constraints associated with the dialog. Some of those implementations may additionally and/or alternatively enable adapting, based on textual input provided by a user to the automated assistant, when and/or whether search results having certain attributes are provided to the user by the automated assistant",15
083-909-908-715-125,Alphabet,2013,FACIAL FEATURE DETECTION,"FACIAL FEATURE DETECTION. An example method includes capturing, by a camera of a computing device, an image including at least a face of a user, calculating a face template of the face of the user in the image, and analyzing the face template to determine whether the face includes at least one of a removable facial feature that decreases a level of distinctiveness between two faces and a non-removable facial feature that decreases a level of distinctiveness between two faces. When the face includes the removable facial feature, the method further includes outputting a notification for the user to remove the removable facial feature. When the face includes the non-removable facial feature, the method further includes adjusting a first similarity score threshold to a second similarity score threshold",Y04S40/20,1,"FACIAL FEATURE DETECTION. An example method includes capturing, by a camera of a computing device, an image including at least a face of a user, calculating a face template of the face of the user in the image, and analyzing the face template to determine whether the face includes a removable facial feature that decreases a level of distinctiveness between two faces and a non-removable facial feature that decreases a level of distinctiveness between two faces. When the face includes the removable facial feature, outputting a notification for the user to remove the removable facial feature. When the face includes the non-removable facial feature, adjusting a first similarity score threshold to a second similarity score threshold",1
087-973-850-043-822,Alphabet,2023,Physics-informed optimization for autonomous driving systems,"Physics-informed optimization for autonomous driving systems. A method includes identifying, based on grade data of a route of an autonomous vehicle (AV), a segment of the route that has a grade value that meets a threshold grade value. Responsive to identifying the segment, the method further includes generating, based on the grade data and physical vehicle data of the AV, driving constraint data for the segment of the route. The method further includes causing a routing module of the AV to generate, based on the driving constraint data for the segment of the route, short time horizon routing data corresponding to a portion of the segment. The AV is to travel the portion of the segment of the route based on the short time horizon routing data",Y02T10/60,1,"Physics-informed optimization for autonomous driving systems. A method includes identifying, based on grade data of a route of an autonomous vehicle (AV), a segment of the route that has a grade value that meets a threshold grade value. Responsive to identifying the segment, generating, based on the grade data and physical vehicle data of the AV, driving constraint data for the segment of the route. causing a routing module of the AV to generate, based on the driving constraint data for the segment of the route, short time horizon routing data corresponding to a portion of the segment. The AV is to travel the portion of the segment of the route based on the short time horizon routing data",3
120-928-993-695-360,Alphabet,2023,Gesture-triggered augmented-reality,"Gesture-triggered augmented-reality. A user may routinely wear or hold more than one computing devices. One of the computing devices may be a head-mounted computing-device configured for augmented reality. The head-mounted computing-device may include a camera. While imaging, the camera can consume power and processing resources that diminish a battery of the head-mounted computing device. To improve a battery life and to enhance a user's privacy, imaging of the camera can be deactivated during periods when the user is not interacting with the head-mounted computing device and activated when the user wishes to interact with the head-mounted computing device. The activation of the camera can be triggered by gestured data collected by a computing device other than the head-mounted computing-device",Y02D10/00,1,"Gesture-triggered augmented-reality. A user may routinely wear or hold more than one computing devices. One of the computing devices a head-mounted computing-device configured for augmented reality. The head-mounted computing-device a camera. While imaging, the camera can consume power and processing resources that diminish a battery of the head-mounted computing device. To improve a battery life and to enhance a user's privacy, imaging of the camera deactivated during periods when the user is not interacting with the head-mounted computing device and activated when the user wishes to interact with the head-mounted computing device. The activation of the camera triggered by gestured data collected by a computing device other than the head-mounted computing-device",1
003-951-190-394-621,Alphabet,2024,ENHANCED HANDOVER PROCEDURE FOR SUPPORTING NETWORK ENERGY SAVING,"ENHANCED HANDOVER PROCEDURE FOR SUPPORTING NETWORK ENERGY SAVING. A user equipment receives (509), from a radio access network (RAN) in a serving cell, a measurement configuration for a candidate cell. The UE receives (520), subsequently to the receiving of the measurement configuration and when the measurement configuration is deactivated, an indication of a non-active period in the serving cell. In response to the indication of the non-active period, the UE activates (535 A) the measurement configuration for the candidate cell",Y02D30/70; Y02D30/70,2,"ENHANCED HANDOVER PROCEDURE FOR SUPPORTING NETWORK ENERGY SAVING. A user equipment receives (509), from a radio access network (RAN) in a serving cell, a measurement configuration for a candidate cell. The UE receives (520), subsequently to the receiving of the measurement configuration and when the measurement configuration is deactivated, an indication of a non-active period in the serving cell. In response to the indication of the non-active period, the UE activates (535 A) the measurement configuration for the candidate cell",0
102-443-918-695-127,Alphabet,2025,CLOCK GATE TREE,CLOCK GATE TREE. This document describes systems and techniques for implementing a clock gate tree to save clock power. A root level clock gate receives a clock signal associated with a line of data to be accessed in a data structure. A line level clock gate is associated with the line of data to be accessed in the data structure. A clock gate tree includes multiple clock gates. The clock gate tree receives the clock signal from the root level clock gate and activates a portion of the plurality of clock gates in the clock gate tree to communicate the clock signal to the line level clock gate. The portion of the plurality of clock gates in the clock gate tree are activated based on the line level clock gate that activates the line of data to be accessed,Y02D10/00,1,CLOCK GATE TREE. This document describes systems and techniques for implementing a clock gate tree to save clock power. A root level clock gate receives a clock signal associated with a line of data to be accessed in a data structure. A line level clock gate is associated with the line of data to be accessed in the data structure. A clock gate tree includes multiple clock gates. The clock gate tree receives the clock signal from the root level clock gate and activates a portion of clock gates in the clock gate tree to communicate the clock signal to the line level clock gate. The portion of clock gates in the clock gate tree are activated based on the line level clock gate that activates the line of data to be accessed,1
072-452-863-932-575,Alphabet,2019,"Systems, methods, and devices for activity monitoring via a home assistant","Systems, methods, and devices for activity monitoring via a home assistant. The various implementations described herein include methods, devices, and systems for monitoring activity in a home environment. In one aspect, a method performed at a voice-assistant device includes: (1) while operating in an assistant mode, receiving an occupant voice command to operate in a monitoring mode; (2) in response to the command, transitioning to operating in the monitoring mode; (3) obtaining one or more monitoring criteria; (4) while operating in the monitoring mode, detecting a sound; (5) obtaining a determination as to whether the sound meets the one or more monitoring criteria; and (6) in accordance with a determination that the sound meets the one or more monitoring criteria: (a) obtaining a classification of the sound; and (b) based on sound having a first sound classification, emitting a first simulated occupant response of a plurality of simulated occupant responses via the one or more speakers",Y02B20/40,1,"Systems, methods, and devices for activity monitoring via a home assistant. The various implementations include methods, devices, and systems for monitoring activity in a home environment. In one aspect, a method performed at a voice-assistant device includes: (1) while operating in an assistant mode, receiving an occupant voice command to operate in a monitoring mode; (2) in response to the command, transitioning to operating in the monitoring mode; (3) obtaining one or more monitoring criteria; (4) while operating in the monitoring mode, detecting a sound; (5) obtaining a determination as to whether the sound meets the one or more monitoring criteria; and (6) a determination that the sound meets the one or more monitoring criteria: (a) obtaining a classification of the sound; and (b) based on sound having a first sound classification, emitting a first simulated occupant response of simulated occupant responses via the one or more speakers",15
130-686-000-085-132,Alphabet,2024,Methods and systems for detecting adverse road conditions using radar,Methods and systems for detecting adverse road conditions using radar. Example embodiments relate to techniques for detecting adverse road conditions using radar. A computing device may generate a first radar representation that represents a field of view for a radar unit coupled to a vehicle and during clear weather conditions and store the first radar representation in memory. The computing device may receive radar data from the radar unit during navigation of the vehicle on a road and determine a second radar representation based on the radar data. The computing device may also perform a comparison between the first radar representation and the second radar representation and determine a road condition for the road based on the comparison. The road condition may represent a quantity of precipitation located on the road and provide control instructions to the vehicle based on the road condition for the road,Y02A90/10,1,for detecting adverse road conditions using radar. Example embodiments relate to techniques for detecting adverse road conditions using radar. A computing device may generate a first radar representation that represents a field of view for a radar unit coupled to a vehicle and during clear weather conditions and store the first radar representation in memory. The computing device may receive radar data from the radar unit during navigation of the vehicle on a road and determine a second radar representation based on the radar data. The computing device may also perform a comparison between the first radar representation and the second radar representation and determine a road condition for the road based on the comparison. The road condition may represent a quantity of precipitation located on the road and provide control instructions to the vehicle based on the road condition for the road,3
157-110-405-365-819,Alphabet,2020,UAV group charging based on demand for UAV service,"UAV group charging based on demand for UAV service. Example embodiments can help to more efficiently charge unmanned aerial vehicles (UAVs) in a plurality of UAVs that provide delivery services. An example method includes: determining demand data indicating demand for item-transport services by the plurality of UAVs during a period of time; determining battery state information for the plurality of UAVs, wherein the battery state information is based at least in part on individual battery state information for each of two or more of the UAVs; based at least in part on (a) the demand data for item-transport services by the plurality of UAVs, and (b) the battery state information for the fleet of UAVs, determining respective charge-rate profiles for one or more of the UAVs; and sending instructions to cause respective batteries of the one or more of the UAVs to be charged according to the respectively determined charge-rate profiles",Y02P90/60; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T90/167; Y04S30/14,8,"UAV group charging based on demand for UAV service. Example embodiments can help to more efficiently charge unmanned aerial vehicles (UAVs) in UAVs that provide delivery services. An example method includes: determining demand data indicating demand for item-transport services by UAVs during a period of time; determining battery state information for UAVs, the battery state information is based at least in part on individual battery state information for each of two or more of the UAVs; based at least in part on (a) the demand data for item-transport services by UAVs, and (b) the battery state information for the fleet of UAVs, determining respective charge-rate profiles for one or more of the UAVs; and sending instructions to cause respective batteries of the one or more of the UAVs to be charged according to the respectively determined charge-rate profiles",3
030-715-455-148-042,Alphabet,2025,Automatic routing through electric vehicle charging stations,"Automatic routing through electric vehicle charging stations. To navigate an electric vehicle from a starting location to a destination, a system identifies multiple charging stations between the starting location and the destination and determining a navigation route that requires a least amount of time for the electric vehicle to travel from the starting location to the destination via one or more of the charging stations, including determining a non-linear relationship between an amount of time and an amount of charge the EV receives during the amount of time",Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16; Y02T10/70; Y02T10/7072; Y02T10/72; Y02T90/12; Y02T90/16,10,"Automatic routing through electric vehicle charging stations. To navigate an electric vehicle from a starting location to a destination, a system identifies multiple charging stations between the starting location and the destination and determining a navigation route that requires a least amount of time for the electric vehicle to travel from the starting location to the destination via one or more of the charging stations, including determining a non-linear relationship between an amount of time and an amount of charge the EV receives during the amount of time",30
110-577-196-520-221,Alphabet,2017,Controlling an HVAC system during demand response events,"Controlling an HVAC system during demand response events. Apparatus, systems, methods, and related computer program products for carrying out a demand response (DR) event via an intelligent, network-connected thermostat associated with a structure. The systems disclosed include an energy management system in operation with an intelligent, network-connected thermostat located at a structure. The thermostat is operable to control an HVAC system. Control during a DR event period may be performed based on an optimal control trajectory of the HVAC system, where the control trajectory is optimal in that it minimizes a cost function comprising a combination of a first factor representative of a total energy consumption during the DR event period, a second factor representative of a metric of occupant discomfort, and a third factor representative of deviations of a rate of energy consumption over the DR event period",Y02B70/3225; Y04S20/222,2,"Controlling an HVAC system during demand response events. Apparatus, systems, methods, and related computer program products for carrying out a demand response (DR) event via an intelligent, network-connected thermostat associated with a structure. The systems disclosed include an energy management system in operation with an intelligent, network-connected thermostat located at a structure. The thermostat is control an HVAC system. Control during a DR event period performed based on an optimal control trajectory of the HVAC system, where the control trajectory is optimal in that it minimizes a cost function a combination of a first factor representative of a total energy consumption during the DR event period, a second factor representative of a metric of occupant discomfort, and a third factor representative of deviations of a rate of energy consumption over the DR event period",-1
006-824-295-860-825,Alphabet,2023,Wi-Fi adaptive beacon skipping for battery-powered devices,"Wi-Fi adaptive beacon skipping for battery-powered devices. A Wi-Fi chip is configured to operate in a power saving Wi-Fi mode in which the Wi-Fi chip repeatedly checks, at a first time interval, periodic DTIM beacons transmitted at a second time interval by a wireless access point of a Wi-Fi network, wherein the first time interval is longer than the second time interval. Upon receiving a standby message, the Wi-Fi chip, during a predefined time duration, operates in a standby mode in which the Wi-Fi chip checks at a third time interval periodic DTIM beacons transmitted by the wireless access point, wherein the third time interval is shorter than the first time interval",Y02D30/70,1,"Wi-Fi adaptive beacon skipping for battery-powered devices. A Wi-Fi chip is operate in a power saving Wi-Fi mode in which the Wi-Fi chip repeatedly checks, at a first time interval, periodic DTIM beacons transmitted at a second time interval by a wireless access point of a Wi-Fi network, the first time interval is longer than the second time interval. Upon receiving a standby message, the Wi-Fi chip, during a predefined time duration, operates in a standby mode in which the Wi-Fi chip checks at a third time interval periodic DTIM beacons transmitted by the wireless access point, the third time interval is shorter than the first time interval",0
073-028-610-303-571,Alphabet,2025,ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS,"ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS. Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing dynamic voltage and/or frequency scaling. One of the methods includes obtaining an input data item; processing the input data item using a data processing pipeline executed on the computing device to generate an output data item, wherein processing the input data item comprises: executing a sequence of one or more pre-processing operations of the data processing pipeline on the input data item to generate a pre-processed data item; during the executing, monitoring a length of time consumed in executing the one or more pre-processing operations; and determining, based on the length of time consumed in executing the one or more pre-processing operations, a voltage value for a target processing core that will execute one or more subsequent processing operations of the data processing pipeline to process the pre-processed data item to generate a processed data item",Y02D10/00,1,"ADAPTIVE POWER MANAGEMENT FOR AI/ML ACCELERATORS. Methods, systems, and apparatus, including computer programs encoded on computer storage media, for performing dynamic voltage and/or frequency scaling. One of the methods includes obtaining an input data item; processing the input data item using a data processing pipeline executed on the computing device to generate an output data item, processing the input data item : executing a sequence of one or more pre-processing operations of the data processing pipeline on the input data item to generate a pre-processed data item; during the executing, monitoring a length of time consumed in executing the one or more pre-processing operations; and determining, based on the length of time consumed in executing the one or more pre-processing operations, a voltage value for a target processing core that will execute one or more subsequent processing operations of the data processing pipeline to process the pre-processed data item to generate a processed data item",-1
000-903-992-405-526,Alphabet,2025,SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS,"SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS. Methods, systems, and apparatus for a computing device that includes a multi-context processing system that includes multiple processing blocks, in which each processing block is configured to continually process data received from multiple different contexts using buffers, in which each buffer is stored in an associated memory subsystem. The system includes a data processing apparatus configured to execute instructions to perform operations for implementing multiple page managers to manage the allocation of pages of the buffers in the associated memory subsystems for multiple respective groups of processing blocks. The operations include configuring, by each page manager, a respective hardware page table for each processing block of a group of processing blocks managed by the page manager",Y02D10/00,1,"SOFTWARE-MANAGED BUFFER SHARING BETWEEN MULTIPLE CONTEXTS. Methods, systems, and apparatus for a computing device that includes a multi-context processing system that includes multiple processing blocks, in which each processing block is continually process data received from multiple different contexts using buffers, in which each buffer is stored in an associated memory subsystem. The system includes a data processing apparatus execute instructions to perform operations for implementing multiple page managers to manage the allocation of pages of the buffers in the associated memory subsystems for multiple respective groups of processing blocks. The operations include configuring, by each page manager, a respective hardware page table for each processing block of a group of processing blocks managed by the page manager",6
006-502-985-532-237,Alphabet,2024,Method of temperature conditioning compute module for cold start,"Method of temperature conditioning compute module for cold start. Example embodiments relate to methods of increasing a temperature of a computer module to start the computer at environmental temperatures below a threshold temperature. An example embodiment includes receiving, at one or more computing components thermally coupled to a main computer via a liquid-cooled plate, a set of program instructions. The method can also include running the set of program instructions on at least one computing component. Running the set of program instructions on the computing component can generate heat that flows to the main computer via the liquid-cooled plate. The method can additionally include detecting, from at least one thermal sensor coupled to the liquid-cooled plate, a temperature reading indicative of a temperature of the main computer. The method can further include determining that the temperature reading has reached a predetermined temperature threshold and based on the temperature reading reaching the predetermined temperature threshold, powering on the main computer",Y02D10/00,1,"Method of temperature conditioning compute module for cold start. Example embodiments relate to methods of increasing a temperature of a computer module to start the computer at environmental temperatures below a threshold temperature. An example embodiment includes receiving, at one or more computing components thermally coupled to a main computer via a liquid-cooled plate, a set of program instructions. The method can also include running the set of program instructions on at least one computing component. Running the set of program instructions on the computing component can generate heat that flows to the main computer via the liquid-cooled plate. The method can additionally include detecting, from at least one thermal sensor coupled to the liquid-cooled plate, a temperature reading indicative of a temperature of the main computer. The method can further include determining that the temperature reading has reached a predetermined temperature threshold and based on the temperature reading reaching the predetermined temperature threshold, powering on the main computer",4
016-682-255-676-814,Alphabet,2025,Data center balance of plant integrated into fuel cell system design,"Data center balance of plant integrated into fuel cell system design. An energy system may include data center computer equipment, a data center power system configured to simultaneously provide power for operation of the data center equipment and power for cooling the data center equipment, fuel cells configured to provide power to the data center power system, an on-site battery storage configured to provide backup power and power conditioning to the fuel cells, an on-site hydrogen storage to provide fuel to the fuel cells, and an excess heat recovery connection configured to transfer a liquid from the data center power system to provide cooling to the fuel cells",Y02B90/10; Y02E60/50,2,"Data center balance of plant integrated into fuel cell system design. An energy system data center computer equipment, a data center power system simultaneously provide power for operation of the data center equipment and power for cooling the data center equipment, fuel cells provide power to the data center power system, an on-site battery storage provide backup power and power conditioning to the fuel cells, an on-site hydrogen storage to provide fuel to the fuel cells, and an excess heat recovery connection transfer a liquid from the data center power system to provide cooling to the fuel cells",33
